DateKey,Year,Month,Day,WeekDay,WeekOfYear,Quarter
2018-04-17,2018,4,17,Tuesday,16,2
2018-08-21,2018,8,21,Tuesday,34,3
2016-10-04,2016,10,4,Tuesday,40,4
2018-07-12,2018,7,12,Thursday,28,3
2018-01-28,2018,1,28,Sunday,4,1
2018-06-25,2018,6,25,Monday,26,2
2017-04-02,2017,4,2,Sunday,13,2
2017-02-16,2017,2,16,Thursday,7,1
2017-04-16,2017,4,16,Sunday,15,2
2017-09-03,2017,9,3,Sunday,35,3
2017-12-28,2017,12,28,Thursday,52,4
2018-08-02,2018,8,2,Thursday,31,3
2017-09-05,2017,9,5,Tuesday,36,3
2017-11-04,2017,11,4,Saturday,44,4
2017-03-31,2017,3,31,Friday,13,1
2018-01-16,2018,1,16,Tuesday,3,1
2018-02-26,2018,2,26,Monday,9,1
2017-02-18,2017,2,18,Saturday,7,1
2017-01-08,2017,1,8,Sunday,1,1
2017-08-02,2017,8,2,Wednesday,31,3
2018-02-23,2018,2,23,Friday,8,1
2017-03-28,2017,3,28,Tuesday,13,1
2017-01-12,2017,1,12,Thursday,2,1
2017-12-01,2017,12,1,Friday,48,4
2017-12-16,2017,12,16,Saturday,50,4
2018-01-23,2018,1,23,Tuesday,4,1
2017-05-10,2017,5,10,Wednesday,19,2
2017-06-19,2017,6,19,Monday,25,2
2017-07-22,2017,7,22,Saturday,29,3
2018-05-18,2018,5,18,Friday,20,2
2017-12-14,2017,12,14,Thursday,50,4
2018-07-10,2018,7,10,Tuesday,28,3
2017-10-07,2017,10,7,Saturday,40,4
2017-12-05,2017,12,5,Tuesday,49,4
2017-07-11,2017,7,11,Tuesday,28,3
2017-05-20,2017,5,20,Saturday,20,2
2018-03-21,2018,3,21,Wednesday,12,1
2018-08-09,2018,8,9,Thursday,32,3
2017-10-31,2017,10,31,Tuesday,44,4
2017-12-17,2017,12,17,Sunday,50,4
2018-03-26,2018,3,26,Monday,13,1
2018-06-06,2018,6,6,Wednesday,23,2
2018-01-11,2018,1,11,Thursday,2,1
2017-10-01,2017,10,1,Sunday,39,4
2017-11-03,2017,11,3,Friday,44,4
2017-02-05,2017,2,5,Sunday,5,1
2018-03-14,2018,3,14,Wednesday,11,1
2017-05-02,2017,5,2,Tuesday,18,2
2017-12-02,2017,12,2,Saturday,48,4
2017-04-27,2017,4,27,Thursday,17,2
2017-10-13,2017,10,13,Friday,41,4
2018-05-04,2018,5,4,Friday,18,2
2018-03-03,2018,3,3,Saturday,9,1
2016-10-10,2016,10,10,Monday,41,4
2018-07-01,2018,7,1,Sunday,26,3
2018-05-12,2018,5,12,Saturday,19,2
2017-06-30,2017,6,30,Friday,26,2
2017-01-22,2017,1,22,Sunday,3,1
2018-04-30,2018,4,30,Monday,18,2
2018-05-03,2018,5,3,Thursday,18,2
2017-05-30,2017,5,30,Tuesday,22,2
2018-08-18,2018,8,18,Saturday,33,3
2017-01-30,2017,1,30,Monday,5,1
2018-03-13,2018,3,13,Tuesday,11,1
2017-02-21,2017,2,21,Tuesday,8,1
2017-02-11,2017,2,11,Saturday,6,1
2017-04-26,2017,4,26,Wednesday,17,2
2017-07-04,2017,7,4,Tuesday,27,3
2018-01-12,2018,1,12,Friday,2,1
2017-07-08,2017,7,8,Saturday,27,3
2017-02-28,2017,2,28,Tuesday,9,1
2018-04-27,2018,4,27,Friday,17,2
2017-09-23,2017,9,23,Saturday,38,3
2018-06-16,2018,6,16,Saturday,24,2
2017-07-09,2017,7,9,Sunday,27,3
2017-11-06,2017,11,6,Monday,45,4
2017-04-01,2017,4,1,Saturday,13,2
2017-07-16,2017,7,16,Sunday,28,3
2017-06-11,2017,6,11,Sunday,23,2
2017-10-24,2017,10,24,Tuesday,43,4
2018-02-11,2018,2,11,Sunday,6,1
2018-05-27,2018,5,27,Sunday,21,2
2018-06-26,2018,6,26,Tuesday,26,2
2017-03-11,2017,3,11,Saturday,10,1
2018-07-31,2018,7,31,Tuesday,31,3
2018-07-23,2018,7,23,Monday,30,3
2018-08-20,2018,8,20,Monday,34,3
2017-01-28,2017,1,28,Saturday,4,1
2017-10-06,2017,10,6,Friday,40,4
2016-10-09,2016,10,9,Sunday,40,4
2017-04-05,2017,4,5,Wednesday,14,2
2017-12-07,2017,12,7,Thursday,49,4
2017-02-01,2017,2,1,Wednesday,5,1
2017-09-14,2017,9,14,Thursday,37,3
2017-11-02,2017,11,2,Thursday,44,4
2018-08-03,2018,8,3,Friday,31,3
2017-12-09,2017,12,9,Saturday,49,4
2017-06-08,2017,6,8,Thursday,23,2
2017-03-19,2017,3,19,Sunday,11,1
2017-08-10,2017,8,10,Thursday,32,3
2017-12-23,2017,12,23,Saturday,51,4
2016-10-06,2016,10,6,Thursday,40,4
2017-01-06,2017,1,6,Friday,1,1
2017-08-08,2017,8,8,Tuesday,32,3
2017-11-14,2017,11,14,Tuesday,46,4
2017-11-26,2017,11,26,Sunday,47,4
2017-06-15,2017,6,15,Thursday,24,2
2017-11-09,2017,11,9,Thursday,45,4
2017-10-12,2017,10,12,Thursday,41,4
2018-06-27,2018,6,27,Wednesday,26,2
2017-02-08,2017,2,8,Wednesday,6,1
2017-06-29,2017,6,29,Thursday,26,2
2018-01-20,2018,1,20,Saturday,3,1
2017-07-02,2017,7,2,Sunday,26,3
2018-01-27,2018,1,27,Saturday,4,1
2018-06-02,2018,6,2,Saturday,22,2
2017-01-15,2017,1,15,Sunday,2,1
2018-08-10,2018,8,10,Friday,32,3
2018-05-28,2018,5,28,Monday,22,2
2017-08-07,2017,8,7,Monday,32,3
2017-10-27,2017,10,27,Friday,43,4
2017-10-22,2017,10,22,Sunday,42,4
2017-04-14,2017,4,14,Friday,15,2
2018-01-18,2018,1,18,Thursday,3,1
2017-07-26,2017,7,26,Wednesday,30,3
2018-08-05,2018,8,5,Sunday,31,3
2018-01-29,2018,1,29,Monday,5,1
2018-04-12,2018,4,12,Thursday,15,2
2018-01-15,2018,1,15,Monday,3,1
2017-07-23,2017,7,23,Sunday,29,3
2017-08-21,2017,8,21,Monday,34,3
2018-08-11,2018,8,11,Saturday,32,3
2017-12-12,2017,12,12,Tuesday,50,4
2017-09-06,2017,9,6,Wednesday,36,3
2018-08-08,2018,8,8,Wednesday,32,3
2017-02-09,2017,2,9,Thursday,6,1
2018-02-25,2018,2,25,Sunday,8,1
2017-03-09,2017,3,9,Thursday,10,1
2018-04-14,2018,4,14,Saturday,15,2
2017-09-18,2017,9,18,Monday,38,3
2017-04-11,2017,4,11,Tuesday,15,2
2018-05-02,2018,5,2,Wednesday,18,2
2018-05-26,2018,5,26,Saturday,21,2
