DateKey,Year,Month,Day,WeekDay,WeekOfYear,Quarter
2017-04-12,2017,4,12,Wednesday,15,2
2017-11-01,2017,11,1,Wednesday,44,4
2018-08-04,2018,8,4,Saturday,31,3
2017-07-13,2017,7,13,Thursday,28,3
2017-01-17,2017,1,17,Tuesday,3,1
2017-05-26,2017,5,26,Friday,21,2
2018-06-09,2018,6,9,Saturday,23,2
2017-06-21,2017,6,21,Wednesday,25,2
2016-10-02,2016,10,2,Sunday,39,4
2017-01-09,2017,1,9,Monday,2,1
2017-01-07,2017,1,7,Saturday,1,1
2018-09-03,2018,9,3,Monday,36,3
2016-12-23,2016,12,23,Friday,51,4
2016-09-05,2016,9,5,Monday,36,3
